Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.06     0.00     4420     0.00     0.00  std::reverse_iterator<__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > > >::reverse_iterator(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >)
  0.00      0.06     0.00     2552     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::operator+(long) const
  0.00      0.06     0.00     2210     0.00     0.00  std::reverse_iterator<__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > > >::operator-(long) const
  0.00      0.06     0.00     2210     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::crend() const
  0.00      0.06     0.00     1131     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_M_range_check(unsigned long) const
  0.00      0.06     0.00     1131     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::at(unsigned long)
  0.00      0.06     0.00      513     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::operator-(long) const
  0.00      0.06     0.00      510     0.00     0.00  unsigned char const& std::forward<unsigned char const&>(std::remove_reference<unsigned char const&>::type&)
  0.00      0.06     0.00      332     0.00     0.00  unsigned char* std::__addressof<unsigned char>(unsigned char&)
  0.00      0.06     0.00      198     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_Temporary_value::_M_ptr()
  0.00      0.06     0.00      138     0.00     0.00  unsigned char* std::__fill_n_a<unsigned char*, unsigned long, unsigned char>(unsigned char*, unsigned long, unsigned char const&, std::random_access_iterator_tag)
  0.00      0.06     0.00      138     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      0.06     0.00      138     0.00     0.00  unsigned char* std::fill_n<unsigned char*, unsigned long, unsigned char>(unsigned char*, unsigned long, unsigned char const&)
  0.00      0.06     0.00      134     0.00     0.00  unsigned char* std::__uninitialized_default_n_1<true>::__uninit_default_n<unsigned char*, unsigned long>(unsigned char*, unsigned long)
  0.00      0.06     0.00      134     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_M_default_append(unsigned long)
  0.00      0.06     0.00      134     0.00     0.00  void std::_Construct<unsigned char>(unsigned char*)
  0.00      0.06     0.00      134     0.00     0.00  unsigned char* std::__uninitialized_default_n<unsigned char*, unsigned long>(unsigned char*, unsigned long)
  0.00      0.06     0.00      134     0.00     0.00  unsigned char* std::__uninitialized_default_n_a<unsigned char*, unsigned long, unsigned char>(unsigned char*, unsigned long, std::allocator<unsigned char>&)
  0.00      0.06     0.00      119     0.00     0.00  void std::__fill_a<unsigned char*, unsigned char>(unsigned char*, unsigned char*, unsigned char const&)
  0.00      0.06     0.00      119     0.00     0.00  __gnu_cxx::__enable_if<std::__is_byte<unsigned char>::__value, void>::__type std::__fill_a1<unsigned char>(unsigned char*, unsigned char*, unsigned char const&)
  0.00      0.06     0.00      106     0.00     0.00  Decimal::operator>>=(unsigned long)
  0.00      0.06     0.00      106     0.00     0.00  Decimal::isZero() const
  0.00      0.06     0.00      105     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::push_back(unsigned char const&)
  0.00      0.06     0.00      103     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_M_fill_insert(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned long, unsigned char const&)
  0.00      0.06     0.00      103     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::insert(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned long, unsigned char const&)
  0.00      0.06     0.00      102     0.00     0.00  void std::__copy_move<true, false, std::random_access_iterator_tag>::__assign_one<unsigned char, unsigned char>(unsigned char*, unsigned char*)
  0.00      0.06     0.00      101     0.00     0.00  unsigned char* std::__copy_move_backward<true, true, std::random_access_iterator_tag>::__copy_move_b<unsigned char, unsigned char>(unsigned char*, unsigned char*, unsigned char*)
  0.00      0.06     0.00      101     0.00     0.00  unsigned char* std::move_backward<unsigned char*, unsigned char*>(unsigned char*, unsigned char*, unsigned char*)
  0.00      0.06     0.00      101     0.00     0.00  unsigned char* std::__copy_move_backward_a<true, unsigned char*, unsigned char*>(unsigned char*, unsigned char*, unsigned char*)
  0.00      0.06     0.00      101     0.00     0.00  unsigned char* std::__copy_move_backward_a1<true, unsigned char*, unsigned char*>(unsigned char*, unsigned char*, unsigned char*)
  0.00      0.06     0.00      101     0.00     0.00  unsigned char* std::__copy_move_backward_a2<true, unsigned char*, unsigned char*>(unsigned char*, unsigned char*, unsigned char*)
  0.00      0.06     0.00       99     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_Temporary_value::_M_val()
  0.00      0.06     0.00       99     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_Temporary_value::_Storage::_Storage()
  0.00      0.06     0.00       99     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_Temporary_value::_Storage::~_Storage()
  0.00      0.06     0.00       99     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_Temporary_value::_Temporary_value<unsigned char const&>(std::vector<unsigned char, std::allocator<unsigned char> >*, unsigned char const&)
